id,Country.Country,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,Total_Tests,Population
1,USA,27273890,466988,17031629,9775273,318731459,332161517
2,India,10803533,154862,10495401,153270,199216019,1388086332
3,Brazil,9397769,228883,8291763,877123,28600000,213460896
4,Russia,3917918,75205,3389913,452800,103200000,145971935
5,UK,3892459,110250,1828510,1953699,75610452,68098996
6,France,3274608,77952,228472,2968184,45205557,65359921
8,Italy,2597446,90241,2076928,430277,33603023,60408532
9,Turkey,2508988,26467,2396199,86322,30206504,84879364
10,Germany,2265536,60885,1991000,213651,40705522,83944131
11,Colombia,2135412,55131,2001135,79146,10345704,51205793
12,Argentina,1961635,48700,1754705,158230,6393504,45442913
13,Mexico,1886245,161240,1450237,274768,4762394,129739348
14,Poland,1533511,38344,1288163,207004,8794269,37821768
15,South Africa,1466767,45605,1327186,93976,8400319,59753378
16,Iran,1445326,58256,1235581,151489,9504930,84632205
17,Ukraine,1232246,23229,1055406,153611,6299699,43575893
18,Peru,1165052,41753,1076446,46853,6491121,33244774
19,Indonesia,1123105,31001,917306,174798,9502313,275245757
20,Czechia,1013352,16826,902007,94519,6385086,10720869
22,Canada,793734,20513,725507,47714,21920909,37939397
23,Portugal,748858,13482,573934,161442,7473397,10178873
24,Chile,740237,18731,698248,23258,8217733,19214019
25,Romania,738152,18675,684095,35382,5523609,19160557
26,Belgium,716395,21216,49302,645877,8388416,11619763
27,Israel,675618,5001,589718,80899,10725110,9197590
28,Iraq,624222,13091,596959,14172,5803603,40755941
30,Pakistan,550540,11833,505818,32889,8085427,223432221
31,Bangladesh,537030,8175,481917,46938,3708907,165666671
32,Philippines,531699,10997,487927,32775,7963066,110448057
33,Switzerland,530289,9556,317600,203133,4447970,8692379
34,Morocco,473667,8351,452522,12794,5419052,37170851
35,Austria,419801,7936,397910,13955,4493252,9037082
36,Serbia,402700,4085,31536,367079,2664142,8716246
37,Japan,396429,6020,349332,41077,7051485,126244175
