,Time_dt,Country,Unemployment_Rate
,,,mean
0,2020-03-31,Australia,5.2201010000000005
1,2020-03-31,Austria,4.6
2,2020-03-31,Belgium,5.0
3,2020-03-31,Canada,7.8
4,2020-03-31,Chile,9.061919
5,2020-03-31,Colombia,12.19014
6,2020-03-31,Czechia,2.1
7,2020-03-31,Denmark,4.8
8,2020-03-31,Estonia,4.8
9,2020-03-31,Finland,6.7
10,2020-03-31,France,7.5
11,2020-03-31,Germany,3.8
12,2020-03-31,Greece,14.3
13,2020-03-31,Hungary,3.7
14,2020-03-31,Iceland,3.5
15,2020-03-31,Ireland,5.0
16,2020-03-31,Israel,3.6105940000000003
17,2020-03-31,Italy,8.5
18,2020-03-31,Japan,2.5
19,2020-03-31,Korea (the Republic of),3.8
20,2020-03-31,Latvia,7.2
21,2020-03-31,Lithuania,6.6
22,2020-03-31,Luxembourg,6.5
23,2020-03-31,Mexico,3.249323
24,2020-03-31,Netherlands (the),2.9
25,2020-03-31,Norway,3.6
26,2020-03-31,Poland,3.0
27,2020-03-31,Portugal,6.2
28,2020-03-31,Slovakia,6.0
29,2020-03-31,Slovenia,4.5
30,2020-03-31,Spain,14.4
31,2020-03-31,Sweden,6.8
32,2020-03-31,Turkey,12.9
33,2020-03-31,United Kingdom of Great Britain and Northern Ireland (the),3.8
34,2020-03-31,United States of America (the),4.4
35,2020-04-30,Australia,6.358871
36,2020-04-30,Austria,4.7
37,2020-04-30,Belgium,5.1
38,2020-04-30,Canada,13.0
39,2020-04-30,Chile,10.88862
40,2020-04-30,Colombia,20.23626
41,2020-04-30,Czechia,2.2
42,2020-04-30,Denmark,4.9
43,2020-04-30,Estonia,6.0
44,2020-04-30,Finland,7.3
45,2020-04-30,France,7.8
46,2020-04-30,Germany,4.0
47,2020-04-30,Greece,15.9
48,2020-04-30,Hungary,4.1
49,2020-04-30,Iceland,3.9
50,2020-04-30,Ireland,4.8
51,2020-04-30,Israel,3.6862699999999995
52,2020-04-30,Italy,7.3
53,2020-04-30,Japan,2.6
54,2020-04-30,Korea (the Republic of),3.8
55,2020-04-30,Latvia,8.2
56,2020-04-30,Lithuania,7.8
57,2020-04-30,Luxembourg,7.4
58,2020-04-30,Mexico,4.804397
59,2020-04-30,Netherlands (the),3.4
60,2020-04-30,Norway,4.1
61,2020-04-30,Poland,3.2
62,2020-04-30,Portugal,6.3
63,2020-04-30,Slovakia,6.7
64,2020-04-30,Slovenia,5.4
65,2020-04-30,Spain,15.1
66,2020-04-30,Sweden,7.9
67,2020-04-30,Turkey,13.6
68,2020-04-30,United Kingdom of Great Britain and Northern Ireland (the),3.7
69,2020-04-30,United States of America (the),14.7
70,2020-05-31,Australia,7.068942
71,2020-05-31,Austria,5.7
72,2020-05-31,Belgium,5.0
73,2020-05-31,Canada,13.7
74,2020-05-31,Chile,11.7563
75,2020-05-31,Colombia,21.13438
76,2020-05-31,Czechia,2.4
77,2020-05-31,Denmark,5.5
78,2020-05-31,Estonia,7.0
79,2020-05-31,Finland,8.0
80,2020-05-31,France,6.9
81,2020-05-31,Germany,4.2
82,2020-05-31,Greece,17.1
83,2020-05-31,Hungary,4.8
